GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0100000US,,United States,310M300US19820,19820,"United States - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4291373,4287293,4293573,4295413,4299512,4297538,4297617
0100000US,,United States,314M300US1982019804,1982019804,"United States - Detroit-Warren-Dearborn, MI Metro Area - Detroit-Dearborn-Livonia, MI Metro Division","Detroit-Dearborn-Livonia, MI Metro Division",1820584,1820641,1815225,1800915,1791995,1774623,1764919,1757062,1749366
0100000US,,United States,314M300US1982047664,1982047664,"United States - Detroit-Warren-Dearborn, MI Metro Area - Warren-Troy-Farmington Hills, MI Metro Division","Warren-Troy-Farmington Hills, MI Metro Division",2475666,2475672,2476148,2486378,2501578,2520790,2534593,2540476,2548251
0100000US,,United States,310M300US20020,20020,"United States - Dothan, AL Metro Area","Dothan, AL Metro Area",145639,145643,145894,146728,147631,147556,148021,148171,147834
0100000US,,United States,310M300US20100,20100,"United States - Dover, DE Metro Area","Dover, DE Metro Area",162310,162349,162990,165258,167605,169457,171949,173533,174827
0100000US,,United States,310M300US20220,20220,"United States - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93653,93926,94564,95211,95964,96582,97034,97003
0100000US,,United States,310M300US20260,20260,"United States - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279771,279743,279775,279468,279708,279917,279381,279227
0100000US,,United States,310M300US20500,20500,"United States - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506646,508147,515990,525158,533470,542595,551237,559535
0100000US,,United States,310M300US20700,20700,"United States - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169842,169910,169868,168567,167271,167197,166499,166098
0100000US,,United States,310M300US20740,20740,"United States - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161390,161662,162842,163924,164964,165151,165654,166614
0100000US,,United States,310M300US20940,20940,"United States - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174528,174751,176227,177287,177194,178866,179806,180883
0100000US,,United States,310M300US21060,21060,"United States - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148351,149945,151386,150567,151648,151970,148532,149538
0100000US,,United States,310M300US21140,21140,"United States - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197561,197473,198495,199172,200354,201609,203284,203781
0100000US,,United States,310M300US21300,21300,"United States - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88842,88972,88988,89264,88498,87506,87120,86322
0100000US,,United States,310M300US21340,21340,"United States - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804123,807108,822888,834204,834549,837433,837208,841971
0100000US,,United States,310M300US21420,21420,"United States - Enid, OK Metro Area","Enid, OK Metro Area",60580,60580,60758,60706,61278,62326,62839,63360,62603
0100000US,,United States,310M300US21500,21500,"United States - Erie, PA Metro Area","Erie, PA Metro Area",280566,280564,280771,281197,281541,280613,279251,278052,276207
0100000US,,United States,310M300US21660,21660,"United States - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351724,351976,353641,354993,355812,358442,362600,369519
0100000US,,United States,310M300US21780,21780,"United States - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311552,311815,312666,313561,314590,315227,315713,315948
0100000US,,United States,310M300US21820,21820,"United States - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97585,98293,98100,100330,100879,99295,99639,100605
0100000US,,United States,310M300US22020,22020,"United States - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209416,212875,217250,223834,228422,233642,238124
0100000US,,United States,310M300US22140,22140,"United States - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130045,130135,127991,128331,126518,124055,118701,115079
0100000US,,United States,310M300US22180,22180,"United States - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366311,367528,373288,373867,377785,378009,378422,380389
0100000US,,United States,310M300US22220,22220,"United States - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463210,465345,475177,484290,493045,502392,513449,525032
0100000US,,United States,310M300US22380,22380,"United States - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134437,134624,134186,135999,136641,137695,139076,140908
0100000US,,United States,310M300US22420,22420,"United States - Flint, MI Metro Area","Flint, MI Metro Area",425790,425790,425056,421773,418029,415553,412813,410442,408615
0100000US,,United States,310M300US22500,22500,"United States - Florence, SC Metro Area","Florence, SC Metro Area",205566,205571,205680,205736,206153,206146,206702,206341,205976
